,id,name,profile_path_url,popularity,department,gender,known_for
38,1882955,Kishmu,,17.272,Acting,2,"Samsaram Athu Minsaram, Oomai Vizhigal, Chidambara Ragasiyam"
39,1493419,J.M. Martinez,/91xYCQUFHPKLT5hryQZf1CMErIL.jpg,17.21,Acting,0,"Wild and Free, Lafang, Tsikboy"
40,85,Johnny Depp,/kbWValANhZI8rbWZXximXuMN4UN.jpg,16.876,Acting,2,"Pirates of the Caribbean: The Curse of the Black Pearl, Fantastic Beasts and Where to Find Them, Pirates of the Caribbean: Dead Man's Chest"
41,1468490,Baek Da-eun,/39GYBqGd7yHliYO1zfsdwtkPWZI.jpg,16.696,Acting,1,"P.S. Girls, Good Sister-In-Law - Forbidden Love, Challenge Game"
42,10990,Emma Watson,/hMOMOLbYXU2V2JINEXzAb6zXWI0.jpg,16.54,Acting,1,"Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban"
43,17832,Carla Gugino,/1Nest0CwjWcEf1LWJD4u8OOqMQq.jpg,16.53,Acting,1,"Batman v Superman: Dawn of Justice, Man of Steel, Night at the Museum"
44,1972707,Esther Acebo,/mwCGuJJNfwY5MdeY3INVHaZWR5A.jpg,16.073,Acting,1,"Money Heist, Money Heist: The Phenomenon, Antes de perder"
45,3223,Robert Downey Jr.,/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg,16.024,Acting,2,"The Avengers, Iron Man, Avengers: Infinity War"
46,8984,Bill Pullman,/AmAmnlcfVzRpoKUugj61F1QgPTS.jpg,15.974,Acting,2,"Independence Day, The Equalizer, Independence Day: Resurgence"
47,1488985,Yim Lai Cheng,/iR4wuJ62KVdae7HTravG2u4xlRN.jpg,15.945,Acting,1,"Daughter of Darkness 2, The Woman Behind, The Angels"
48,1428896,Miguel Herrán,/sDzdBhIjjtbTYAqXOr83FYRaIVT.jpg,15.838,Acting,2,"Money Heist, Elite, The Invisible Guardian"
49,5009,Peter Benson,/1e5syqHk93Ol4E36RTGG0oVG9C.jpg,15.485,Acting,2,"Joker, Everything, Everything, Supernatural"
50,500,Tom Cruise,/3xuBtKtQwAUnEAoMfYseNSFhRkq.jpg,15.42,Acting,2,"Edge of Tomorrow, Oblivion, Mission: Impossible - Ghost Protocol"
51,18918,Dwayne Johnson,/kuqFzlYMc2IrsOyPznMd1FroeGq.jpg,15.168,Acting,2,"Jumanji: Welcome to the Jungle, Moana, Fast & Furious 6"
52,2231,Samuel L. Jackson,/qjYcO8jKNlb7lnJ05vh2U7lNt8r.jpg,15.123,Acting,2,"The Avengers, Pulp Fiction, Django Unchained"
53,2269561,Jesús Mosquera,/wzybR4bO0rsDzp3utnInThq2viz.jpg,15.034,Acting,2,Toy Boy
54,2187124,Wan Peng,/q6vKHvMGqDiUnKX1vZNnRYhezAJ.jpg,15.014,Acting,1,"When We Were Young, My Girlfriend is an Alien"
55,2025252,Ester Expósito,/hCbXPMVo0x0ZKGNyelvOvqKYCsL.jpg,14.793,Acting,1,"Elite, When Angels Sleep, Your Son"
56,1136406,Tom Holland,/ip7aXVH8s6wXv8cY6KI14OZgCI8.jpg,14.672,Acting,2,"Avengers: Infinity War, Captain America: Civil War, Spider-Man: Homecoming"
57,2888,Will Smith,/eze9FO9VuryXLP0aF2cRqPCcibN.jpg,14.663,Acting,2,"Suicide Squad, I Am Legend, Men in Black"
58,224513,Ana de Armas,/8nXpnukcdLTsTmJrHfwbLq2DUm9.jpg,14.159,Acting,1,"Blade Runner 2049, Knives Out, War Dogs"
59,1757167,María Pedraza,/75xm6Ri4UNWokfO1bEEx6Oj4xIA.jpg,14.061,Acting,1,"Elite, Money Heist, Loving"
60,16483,Sylvester Stallone,/gP5STftJ8ErISwlYiUggmxajrhr.jpg,14.036,Acting,2,"Guardians of the Galaxy Vol. 2, The Expendables, The Expendables 2"
61,109513,Alexandra Daddario,/lh5zibQXYH1MNqkuX8TmxyNYHhK.jpg,13.994,Acting,1,"San Andreas, Baywatch, Percy Jackson & the Olympians: The Lightning Thief"
62,1100,Arnold Schwarzenegger,/dUAFC9E1oVTDKFXCYcetPuOMXYA.jpg,13.848,Acting,2,"The Terminator, Terminator 2: Judgment Day, Terminator Genisys"
63,10859,Ryan Reynolds,/pEu6eRYsewCzrQ2pyQhNxb4t2pm.jpg,13.622,Acting,2,"Deadpool, Deadpool 2, Ted"
64,112,Cate Blanchett,/1Rd567YFdGfkJjSlhNPR8joYkaX.jpg,13.609,Acting,1,"The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers"
65,1315036,Daisy Ridley,/n8kBnNOi9VmELHJy3FdZjrSN9zT.jpg,13.551,Acting,1,"Star Wars: The Force Awakens, Star Wars: The Last Jedi, Murder on the Orient Express"
66,2524,Tom Hardy,/mHSmt9qu2JzEPqnVWCGViv9Stnn.jpg,13.42,Acting,2,"Inception, Mad Max: Fury Road, The Dark Knight Rises"
67,1951,Elisabeth Shue,/eRfVn5aHRhAkho4ilktxD87kua3.jpg,13.301,Acting,1,"Back to the Future Part II, Back to the Future Part III, The Karate Kid"
68,3,Harrison Ford,/5M7oN3sznp99hWYQ9sX0xheswWX.jpg,13.278,Acting,2,"Star Wars: The Force Awakens, Star Wars, The Empire Strikes Back"
69,48,Sean Bean,/rv5ZABXfdl8jFDUBMg8rz5Cnu5W.jpg,13.274,Acting,2,"The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers"
70,8784,Daniel Craig,/iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg,13.271,Acting,2,"Star Wars: The Force Awakens, Skyfall, Spectre"
71,1339832,Anuja,/3DB5N0ooXj3RYG6mtYOFbABxIC9.jpg,13.262,Acting,1,"Cheran Pandiyan, Kannan Varuvaan, Ninaivirukkum Varai"
72,1397778,Anya Taylor-Joy,/qaOlnmpE0vjYDywaZvDlO5R2Fq2.jpg,13.253,Acting,1,"Split, Glass, The Witch"
73,206,Jim Carrey,/k3lMSRsEBrYVNpMAQvgmTaR9lte.jpg,13.196,Acting,2,"The Truman Show, Eternal Sunshine of the Spotless Mind, Bruce Almighty"
74,1222992,Eiza González,/2EpyDXqw1oyJnKayu2XshczjiBN.jpg,13.155,Acting,1,"Baby Driver, Alita: Battle Angel, Fast & Furious Presents: Hobbs & Shaw"
75,976,Jason Statham,/lldeQ91GwIVff43JBrpdbAAeYWj.jpg,13.047,Acting,2,"Fast & Furious 6, Furious 7, The Fate of the Furious"
76,1813,Anne Hathaway,/2VYVqs7n8Q3vpxHdXU8Q6PAI5vv.jpg,12.915,Acting,1,"Interstellar, The Dark Knight Rises, Alice in Wonderland"
77,1991255,Alp Navruz,/xtHxMzdkuR0BP11kiKCpx95mg6D.jpg,12.904,Acting,0,"Elimi Birakma, Mrs. Fazilet and Her Daughters, Zümrüdüanka"
78,77996,Asa Butterfield,/hMDIBO0QcOydD0UtfeDjTR7mhi6.jpg,12.846,Acting,2,"Miss Peregrine's Home for Peculiar Children, Hugo, The Boy in the Striped Pyjamas"
79,31,Tom Hanks,/2gY92j2lkNHL2cThBhPmgXLd5PL.jpg,12.609,Acting,2,"Forrest Gump, Toy Story, Toy Story 3"
80,68610,Gus Carr,/qvJcQi2pKoj30kHhISLrmTTZIc8.jpg,12.595,Acting,2,"(500) Days of Summer, Shameless, Bring It On: All or Nothing"
81,1584426,Ozan Dolunay,/8xfGs5w6W4KJTf1Wh4Giy2IccjH.jpg,12.572,Acting,2,"Tatlı Küçük Yalancılar, High Society, Darısı Başımıza"
82,146358,Mehdi Dehbi,/4mwfsLYlDRvH4dKY5QMmbZYDoOZ.jpg,12.545,Acting,2,"London Has Fallen, A Most Wanted Man, The Other Son"
83,530,Carrie-Anne Moss,/t3X6TnQSLVUYkuUBMrwCOncO7DP.jpg,12.474,Acting,1,"The Matrix, Memento, The Matrix Reloaded"
84,1216004,Jordan Calloway,/tRqqOTzfAAftvtWgNIdjyo5WDfm.jpg,12.429,Acting,2,"Riverdale, Countdown, Black Lightning"
85,880,Ben Affleck,/7Zy12dUasr43oF8hyU5iBz5iOpO.jpg,12.425,Acting,2,"Suicide Squad, Batman v Superman: Dawn of Justice, Gone Girl"
86,60073,Brie Larson,/nTABNG8Sw4EVN3xodn2JBdEmBqv.jpg,12.335,Acting,1,"Avengers: Endgame, Captain Marvel, 21 Jump Street"
87,2098557,Saint Suppapong Udomkaewkanjana,/94V6IXbrsYI0Auaf0Vi5S7tsmI4.jpg,12.284,Acting,2,"Love By Chance, Bai Mai Tee Plid Plew, Reminders"
88,59860,Alice Eve,/oa2NGm0g2Xee9wR1VDDcn08Vf5b.jpg,12.214,Acting,1,"Men in Black 3, Star Trek Into Darkness, Night at the Museum: Secret of the Tomb"
89,1954,Billy Zane,/lkwvmo7vVL8TpMCDLRoHjZIkJQ4.jpg,12.133,Acting,2,"Titanic, Back to the Future, Back to the Future Part II"
90,6968,Hugh Jackman,/aLvTYCe8Ar3jvqNiWLdHEJFyA32.jpg,12.131,Acting,2,"Logan, X-Men: Days of Future Past, The Prestige"
91,18897,Jackie Chan,/A9D4CLjqd18Vh9ZKfXOo7cjjmw7.jpg,12.119,Acting,2,"Kung Fu Panda, Kung Fu Panda 2, The Karate Kid"
